,songid,week_position,year,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2689,MockingbirdRob Thomas,95,2010,Rob Thomas,Mockingbird,"['acoustic pop', 'neo mellow', 'pop rock', 'post-grunge']",4L9J2or96xvWhQwWw09fHO,https://p.scdn.co/mp3-preview/890f03db205c967591816ab156287ecb61e07a81?cid=b8d3901151d34489a160e3cf0ab1fa94,cradlesong,False,240320.0,47.0,0.5710000000000001,0.77,0.0,-5.497999999999999,True,0.0314,0.0534,1.02e-06,0.129,0.613,141.996,4.0
2690,Modern SlaveryHuncho Jack,68,2018,Huncho Jack,Modern Slavery,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",7J6bnDDitOwfelaJNixHhL,,Huncho Jac,True,148559.0,64.0,0.737,0.737,4.0,-3.72,False,0.23800000000000002,0.00158,0.0,0.28,0.5,134.066,4.0
2691,"MollyTyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",66,2013,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",Molly,"['pop rap', 'rap', 'trap']",3fT9dyFnGSiXYfNOLZi3Ew,,Hotel California (Deluxe),True,218440.0,56.0,0.8290000000000001,0.782,5.0,-6.699,True,0.0543,0.0946,1.17e-06,0.35100000000000003,0.733,140.061,4.0
2692,Moment 4 LifeNicki Minaj Featuring Drake,13,2011,Nicki Minaj Featuring Drake,Moment 4 Life,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop', 'rap']",0ConttVd0Ebk3dLNquOmh0,,Pink Friday (Deluxe),True,279306.0,63.0,0.68,0.882,11.0,-3.883,True,0.23600000000000002,0.406,0.0,0.24100000000000002,0.386,97.943,4.0
2693,Momma I Hit A Lick2 Chainz Featuring Kendrick Lamar,100,2019,2 Chainz Featuring Kendrick Lamar,Momma I Hit A Lick,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",7jKUnzzOGhAlPjr7LkIUlE,,Rap Or Go To The League,True,173760.0,64.0,0.7959999999999999,0.467,11.0,-6.292999999999999,True,0.34,0.20199999999999999,3.32e-05,0.20600000000000002,0.4,179.97400000000002,3.0
2694,Mona LisaLil Wayne Featuring Kendrick Lamar,2,2018,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0dbTQYW3Ad1FTzIA9t90E8,,Tha Carter V,True,324189.0,73.0,0.855,0.6940000000000001,2.0,-4.393,True,0.16899999999999998,0.371,0.0,0.109,0.49,122.07799999999999,4.0
2695,MoneyCardi B,13,2018,Cardi B,Money,"['pop', 'pop rap', 'rap']",2GGMabyHXnJmjY6CXhhB2e,https://p.scdn.co/mp3-preview/98ae39c7808d3c596f59e02311236f04f5201940?cid=b8d3901151d34489a160e3cf0ab1fa94,Money,True,183527.0,81.0,0.95,0.59,8.0,-6.507999999999999,False,0.29,0.00534,0.0,0.11,0.21899999999999997,130.003,4.0
2696,Money BagCardi B,58,2018,Cardi B,Money Bag,"['pop', 'pop rap', 'rap']",1vBeIXlzbAieGoDqInav5j,https://p.scdn.co/mp3-preview/3157a8e45586829b57f889998b065bd4bcee006b?cid=b8d3901151d34489a160e3cf0ab1fa94,Invasion of Privacy,True,229004.0,64.0,0.9470000000000001,0.7879999999999999,10.0,-6.138,False,0.124,0.107,0.000691,0.10800000000000001,0.45399999999999996,129.977,4.0
2697,Money In The GraveDrake Featuring Rick Ross,7,2019,Drake Featuring Rick Ross,Money In The Grave,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",5ry2OE6R2zPQFDO85XkgRb,,The Best In The World Pack,True,205426.0,89.0,0.831,0.502,10.0,-4.045,False,0.046,0.10099999999999999,0.0,0.122,0.10099999999999999,100.541,4.0
2698,Money LongerLil Uzi Vert,54,2016,Lil Uzi Vert,Money Longer,"['melodic rap', 'philly rap', 'pop rap', 'rap', 'trap']",0B8QzDH7YWih85V5SEMnyJ,https://p.scdn.co/mp3-preview/d3e64e38a6bc9be041fe7b1d6c9a0cacf07e2955?cid=b8d3901151d34489a160e3cf0ab1fa94,Lil Uzi Vert vs. The World,True,198944.0,78.0,0.795,0.568,5.0,-7.817,False,0.142,0.0541,0.0,0.10800000000000001,0.478,136.173,4.0
